shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
S001,31.245225592365845,32.29110953738866,1,0.0
S001,31.245137864519492,32.29034353427067,2,73.47
S001,31.245117462683083,32.28987104636611,3,118.45
S001,31.2452031503664,32.28950355577367,4,154.66
S001,31.24530515941183,32.28917185971946,5,188.17
S001,31.24535616389323,32.288921297951894,6,212.66
S001,31.24537248532146,32.28874948416842,7,229.09
S001,31.245211311094085,32.28769473844208,8,330.95
S001,31.245052176776934,32.28653260910107,9,442.84
S001,31.2446986845,32.2839796543,10,688.7
S001,31.24429118460443,32.280955820045754,11,979.72
S001,31.243950470303975,32.278419180436934,12,1223.83
S001,31.243905585693717,32.27808748438273,13,1255.76
S001,31.24389538464296,32.27794430622983,14,1269.42
S001,31.243905585693717,32.27779635547184,15,1283.53
S001,31.244077983284896,32.27751477177114,16,1316.45
S001,31.244288124301814,32.27716637159909,17,1356.99
S001,31.244676781940775,32.27633832461484,18,1446.79
S001,31.2453499456,32.2751069069,19,1585.74
S001,31.2465349313,32.272875309,20,1835.48
S001,31.2474137718,32.2712659836,21,2017.02
S001,31.247721721473212,32.27068994648307,22,2081.6
S001,31.2480741866,32.2701609135,23,2145.36
S001,31.24842352275936,32.269496795208944,24,2219.49
S001,31.248584691504306,32.26921282520569,25,2251.89
S001,31.24868057657648,32.269095896380826,26,2267.29
S001,31.248782581865527,32.26910066898593,27,2278.64
S001,31.248880506839345,32.26917941697002,28,2291.86
S001,31.248994752513774,32.269305891005075,29,2309.35
S001,31.249459894189737,32.26987383101157,30,2384.12
S001,31.249694504253462,32.27016495992246,31,2422.15
S001,31.249851590665955,32.2703057517728,32,2444.15
S001,31.249951554610565,32.27038211345435,33,2457.43
S001,31.251267906681697,32.27160688323721,34,2644.46
S001,31.25182177889822,32.270865936295976,35,2738.02
S001,31.251304627592194,32.270314700407326,36,2815.82
S001,31.250778293176946,32.269777782333975,37,2893.48
S001,31.250236655279384,32.26920149026858,38,2974.89
S001,31.251013919993035,32.26856792694202,39,3080.23
S001,31.25180341854532,32.2679415225231,40,3186.31
S001,31.253293145570687,32.266711681847276,41,3389.06
S001,31.253353325764493,32.266668728401406,42,3396.9
S001,31.253573646146663,32.267055309414225,43,3441.07
S001,31.25382252595992,32.26744904933468,44,3487.61
S001,31.25427132396481,32.268198348334835,45,3574.58
S001,31.25473847962181,32.26898105557065,46,3665.33
S001,31.25479559893218,32.26906934876494,47,3675.85
S001,31.25491391739372,32.268954806242625,48,3692.93
S001,31.25445186256046,32.26822340451159,49,3779.38
S001,31.25392248570023,32.267353597232756,50,3880.87
S001,31.25363790616128,32.26691690386644,51,3933.07
S001,31.2534045808993,32.26651958449215,52,3978.89
S001,31.2538488935,32.266100049,53,4042.38
S001,31.2548394465,32.2652363777,54,4179.76
S001,31.2560042502,32.2642707825,55,4338.5
S001,31.2571140104,32.2633641958,56,4489.02
S001,31.2582696146,32.2624307871,57,4645.17
S001,31.25925095,32.26162076,58,4778.72
S001,31.2599213131,32.2610628605,59,4870.2
S001,31.26069655145216,32.26041363284681,60,4976.21
S001,31.2613649134,32.2598236799,61,5069.31
S001,31.2620894279,32.2592282295,62,5167.77
S001,31.2632871001,32.2582626343,63,5329.5
S001,31.2641537479,32.257527709,64,5448.53
S001,31.264863962941828,32.256956663459945,65,5544.35
S001,31.26562580916258,32.258178152076844,66,5688.07
S001,31.26609392848834,32.25894147060446,67,5777.36
S001,31.266512072327654,32.259623953133264,68,5857.17
S001,31.267017921910185,32.26043052339458,69,5952.25
S001,31.267623204086725,32.26140652113683,70,6066.86
S001,31.26771193088656,32.261322403972,71,6079.56
S001,31.267566602463933,32.26109630180555,72,6106.45
S001,31.2669178541,32.2600114346,73,6232.29
S001,31.266358448,32.2591155767,74,6337.73
S001,31.265749723327755,32.25814593699243,75,6452.08
S001,31.265162276953724,32.25720901495442,76,6562.52
S001,31.264958046693547,32.256868071977834,77,6602.09
S001,31.26543534818402,32.25646269883244,78,6667.68
S001,31.26609077328007,32.25592276059493,79,6756.81
S001,31.26602279285808,32.25584524304808,80,6767.37
S001,31.265607738333234,32.2562073271738,81,6824.94
S001,31.26490211276709,32.25678854098821,82,6920.9
S001,31.264498240150097,32.25713485314551,83,6976.58
S001,31.2640703506,32.2574579716,84,7033.21
S001,31.263403644878267,32.25801002960509,85,7124.03
S001,31.26270144500016,32.258619431618335,86,7221.25
S001,31.261817950803067,32.25934427101737,87,7341.24
S001,31.261510446986374,32.25959393792149,88,7382.86
S001,31.261209826614966,32.25983823564487,89,7423.56
S001,31.26078069511277,32.26020333993475,90,7482.57
S001,31.2600947068,32.2607302666,91,7573.82
S001,31.25916697511674,32.26149737834931,92,7700.14
S001,31.258310886,32.2622108459,93,7817.02
S001,31.2568572076,32.2634017467,94,8014.36
S001,31.2549678508,32.2649681568,95,8271.86
S001,31.2537709329,32.2659552097,96,8434.7
S001,31.25335128575854,32.26632152138063,97,8492.93
S001,31.253210525242146,32.26660071877878,98,8523.74
S001,31.2521706249249,32.26741892226503,99,8663.09
S001,31.25142703052406,32.26802027050719,100,8763.61
S001,31.25102310024669,32.26837463643561,101,8819.76
S001,31.250655889404047,32.26869678727962,102,8870.8
S001,31.250157092388637,32.26910484501537,103,8938.48
S001,31.249826599663262,32.26866815164904,104,8993.92
S001,31.249529767247925,32.268195663744486,105,9049.66
S001,31.24939818144571,32.26798089651515,106,9074.78
S001,31.249294136728086,32.268073962314524,107,9089.34
S001,31.24964299209376,32.268634146837734,108,9155.23
S001,31.249783757928977,32.26886502160927,109,9182.18
S001,31.24988780210709,32.26903504566584,110,9202.06
S001,31.249942884272617,32.26915495736889,111,9215.0
S001,31.24996277504672,32.26928023825266,112,9227.11
S001,31.249929113734243,32.26943952394776,113,9242.71
