stop_id,stop_name,stop_lat,stop_lon
IN_001,Investment Stop 1,31.245226,32.291110
IN_002,Investment Stop 2,31.245330,32.289051
IN_003,Investment Stop 3,31.245113,32.286978
IN_004,Investment Stop 4,31.244826,32.284901
IN_005,Investment Stop 5,31.244543,32.282823
IN_006,Investment Stop 6,31.244263,32.280745
IN_007,Investment Stop 7,31.243984,32.278667
IN_008,Investment Stop 8,31.244474,32.276770
IN_009,Investment Stop 9,31.245418,32.274979
IN_010,Investment Stop 10,31.246367,32.273192
IN_011,Investment Stop 11,31.247331,32.271417
IN_012,Investment Stop 12,31.248332,32.269671
IN_013,Investment Stop 13,31.249558,32.269995
IN_014,Investment Stop 14,31.250955,32.271316
IN_015,Investment Stop 15,31.251410,32.270427
IN_016,Investment Stop 16,31.250422,32.269050
IN_017,Investment Stop 17,31.251904,32.267858
IN_018,Investment Stop 18,31.253369,32.266696
IN_019,Investment Stop 19,31.254402,32.268418
IN_020,Investment Stop 20,31.254344,32.268047
IN_021,Investment Stop 21,31.253552,32.266380
IN_022,Investment Stop 22,31.254988,32.265113
IN_023,Investment Stop 23,31.256458,32.263900
IN_024,Investment Stop 24,31.257935,32.262701
IN_025,Investment Stop 25,31.259407,32.261491
IN_026,Investment Stop 26,31.260867,32.260263
IN_027,Investment Stop 27,31.262328,32.259036
IN_028,Investment Stop 28,31.263800,32.257827
IN_029,Investment Stop 29,31.265159,32.257430
IN_030,Investment Stop 30,31.266213,32.259135
IN_031,Investment Stop 31,31.267270,32.260837
IN_032,Investment Stop 32,31.267084,32.260290
IN_033,Investment Stop 33,31.266027,32.258588
IN_034,Investment Stop 34,31.264969,32.256886
IN_035,Investment Stop 35,31.265788,32.256050
IN_036,Investment Stop 36,31.264321,32.257268
IN_037,Investment Stop 37,31.262855,32.258486
IN_038,Investment Stop 38,31.261384,32.259697
IN_039,Investment Stop 39,31.259902,32.260889
IN_040,Investment Stop 40,31.258436,32.262107
IN_041,Investment Stop 41,31.256963,32.263315
IN_042,Investment Stop 42,31.255495,32.264531
IN_043,Investment Stop 43,31.254026,32.265745
IN_044,Investment Stop 44,31.252641,32.267048
IN_045,Investment Stop 45,31.251165,32.268250
