route_id,service_id,trip_id,trip_headsign,direction_id,shape_id
R001,WEEK_ALL,T001_001,Investment,0,S001
R001,WEEK_ALL,T001_002,Investment,0,S001
R001,WEEK_ALL,T001_003,Investment,0,S001
R001,WEEK_ALL,T001_004,Investment,0,S001
R001,WEEK_ALL,T001_005,Investment,0,S001
R001,WEEK_ALL,T001_006,Investment,0,S001
R001,WEEK_ALL,T001_007,Investment,0,S001
R001,WEEK_ALL,T001_008,Investment,0,S001
R001,WEEK_ALL,T001_009,Investment,0,S001
R001,WEEK_ALL,T001_010,Investment,0,S001
R001,WEEK_ALL,T001_011,Investment,0,S001
R001,WEEK_ALL,T001_012,Investment,0,S001
R001,WEEK_ALL,T001_013,Investment,0,S001
R001,WEEK_ALL,T001_014,Investment,0,S001
R001,WEEK_ALL,T001_015,Investment,0,S001
R001,WEEK_ALL,T001_016,Investment,0,S001
R001,WEEK_ALL,T001_017,Investment,0,S001
R001,WEEK_ALL,T001_018,Investment,0,S001
R001,WEEK_ALL,T001_019,Investment,0,S001
R001,WEEK_ALL,T001_020,Investment,0,S001
R001,WEEK_ALL,T001_021,Investment,0,S001
R001,WEEK_ALL,T001_022,Investment,0,S001
R001,WEEK_ALL,T001_023,Investment,0,S001
R001,WEEK_ALL,T001_024,Investment,0,S001
R001,WEEK_ALL,T001_025,Investment,0,S001
R001,WEEK_ALL,T001_026,Investment,0,S001
R001,WEEK_ALL,T001_027,Investment,0,S001
R001,WEEK_ALL,T001_028,Investment,0,S001
R001,WEEK_ALL,T001_029,Investment,0,S001
R001,WEEK_ALL,T001_030,Investment,0,S001
R001,WEEK_ALL,T001_031,Investment,0,S001
R001,WEEK_ALL,T001_032,Investment,0,S001
R001,WEEK_ALL,T001_033,Investment,0,S001
R001,WEEK_ALL,T001_034,Investment,0,S001
R001,WEEK_ALL,T001_035,Investment,0,S001
R001,WEEK_ALL,T001_036,Investment,0,S001
R001,WEEK_ALL,T001_037,Investment,0,S001
R001,WEEK_ALL,T001_038,Investment,0,S001
R001,WEEK_ALL,T001_039,Investment,0,S001
R001,WEEK_ALL,T001_040,Investment,0,S001
R001,WEEK_ALL,T001_041,Investment,0,S001
R002,WEEK_ALL,T002_001,Al Amin,0,S002
R002,WEEK_ALL,T002_002,Al Amin,0,S002
R002,WEEK_ALL,T002_003,Al Amin,0,S002
R002,WEEK_ALL,T002_004,Al Amin,0,S002
R002,WEEK_ALL,T002_005,Al Amin,0,S002
R002,WEEK_ALL,T002_006,Al Amin,0,S002
R002,WEEK_ALL,T002_007,Al Amin,0,S002
R002,WEEK_ALL,T002_008,Al Amin,0,S002
R002,WEEK_ALL,T002_009,Al Amin,0,S002
R002,WEEK_ALL,T002_010,Al Amin,0,S002
R002,WEEK_ALL,T002_011,Al Amin,0,S002
R002,WEEK_ALL,T002_012,Al Amin,0,S002
